longitude,latitude,object_id,fire_id,asmnt_type,pre_id,post_id,nodata_threshold,low_threshold,moderate_threshold,high_threshold,fire_type,fire_name,greenness_threshold,ig_date,acres
-141.840024073078,62.8030028855812,120,AK6280314184019860614,Extended,50650161985208,50650161987200,-970,160,397,680,Wildfire,613009,-150,1986/06/14 00:00:00+00,2657
-149.732026504939,65.3420013922281,121,AK6534214973219860706,Initial,50720141986180,50720141986200,-970,35,318,620,Wildfire,631016,-150,1986/07/06 00:00:00+00,1774
-154.715025358885,64.326000609315,122,AK6432615471519860708,Initial,50740151985207,50740151986200,-970,105,347,625,Wildfire,631053,-150,1986/07/08 00:00:00+00,15042
-151.266025237955,64.0290012189116,123,AK6402915126619860614,Initial,50710151985202,50720151986200,-970,105,414,750,Wildfire,632010,-150,1986/06/14 00:00:00+00,29564
-119.501013812922,44.7690057345452,143,OR4476911950119860802,Initial,50440291985221,50440291986200,-970,65,151,290,Wildfire,86953423,-150,1986/08/02 00:00:00+00,3111
-117.178013163906,43.4540058521341,349,OR4345411717819860811,Initial,50420301984189,50420301986200,-970,90,284,520,Wildfire,3 FINGERS,-150,1986/08/11 00:00:00+00,16704
-143.032024808475,63.6210026461871,402,AK6362114303219860615,Initial,50650151985208,50650151986200,-970,85,315,580,Wildfire,60 MILE,-150,1986/06/15 00:00:00+00,1231
-117.561012976477,41.8850056832868,418,NV4188511756119860810,Initial,50420311986210,50420311986200,-970,70,352,660,Wildfire,8 MILE 2,-150,1986/08/10 00:00:00+00,3806
-155.335027817255,66.7970003025394,435,AK6679715533519860708,Initial,50750131985214,50760131986300,-970,200,368,600,Wildfire,A309,-150,1986/07/08 00:00:00+00,3941
-120.293013556675,42.5950054999985,440,OR4259512029319860801,Initial,50440301985221,50440301986200,-970,70,225,9999,Wildfire,ABERT,-150,1986/08/01 00:00:00+00,13042
-115.3550127446,42.9690059734003,536,ID4296911535519860704,Initial,50410301985232,50410301986200,-970,0,186,400,Wildfire,ALKALI CR,-150,1986/07/04 00:00:00+00,2339
-119.812013539535,42.9680055721116,791,OR4296811981219860801,Initial,50440301985221,50440301986200,-970,50,146,290,Wildfire,BACON CAMP,-150,1986/08/01 00:00:00+00,34432
